tr|A0A016TV92|A0A016TV92_9BILA	tr|A0A016TV92|A0A016TV92_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0077.g1138 PE=3 SV=1
tr|A0A182HTP3|A0A182HTP3_ANOAR	tr|A0A182HTP3|A0A182HTP3_ANOAR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles arabiensis OX=7173 PE=4 SV=1
tr|A0A182IA29|A0A182IA29_ANOAR	tr|A0A182IA29|A0A182IA29_ANOAR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles arabiensis OX=7173 PE=4 SV=1
tr|A0A182IAY6|A0A182IAY6_ANOAR	tr|A0A182IAY6|A0A182IAY6_ANOAR G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles arabiensis OX=7173 PE=3 SV=1
tr|A0A182IJ18|A0A182IJ18_9DIPT	tr|A0A182IJ18|A0A182IJ18_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles atroparvus OX=41427 PE=4 SV=1
tr|A0A182IQN2|A0A182IQN2_9DIPT	tr|A0A182IQN2|A0A182IQN2_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles atroparvus OX=41427 PE=3 SV=1
tr|A0A182IW24|A0A182IW24_9DIPT	tr|A0A182IW24|A0A182IW24_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles atroparvus OX=41427 PE=4 SV=1
tr|A0A182J1E0|A0A182J1E0_9DIPT	tr|A0A182J1E0|A0A182J1E0_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles atroparvus OX=41427 PE=4 SV=1
tr|A0A182JLC1|A0A182JLC1_9DIPT	tr|A0A182JLC1|A0A182JLC1_9DIPT Uncharacterized protein OS=Anopheles atroparvus OX=41427 PE=4 SV=1
tr|A0A182K013|A0A182K013_9DIPT	tr|A0A182K013|A0A182K013_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles christyi OX=43041 PE=4 SV=1
tr|A0A182K1X5|A0A182K1X5_9DIPT	tr|A0A182K1X5|A0A182K1X5_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles christyi OX=43041 PE=4 SV=1
tr|A0A182KAF1|A0A182KAF1_9DIPT	tr|A0A182KAF1|A0A182KAF1_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles christyi OX=43041 PE=4 SV=1
tr|A0A182KFM0|A0A182KFM0_9DIPT	tr|A0A182KFM0|A0A182KFM0_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles christyi OX=43041 PE=4 SV=1
tr|A0A182KGK7|A0A182KGK7_9DIPT	tr|A0A182KGK7|A0A182KGK7_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles christyi OX=43041 PE=3 SV=1
tr|A0A182KRK2|A0A182KRK2_9DIPT	tr|A0A182KRK2|A0A182KRK2_9DIPT Uncharacterized protein OS=Anopheles coluzzii OX=1518534 PE=4 SV=1
tr|A0A182L9L1|A0A182L9L1_9DIPT	tr|A0A182L9L1|A0A182L9L1_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles coluzzii OX=1518534 PE=3 SV=1
tr|A0A182LDS4|A0A182LDS4_9DIPT	tr|A0A182LDS4|A0A182LDS4_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles coluzzii OX=1518534 PE=4 SV=1
tr|A0A182LGB5|A0A182LGB5_9DIPT	tr|A0A182LGB5|A0A182LGB5_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles coluzzii OX=1518534 PE=3 SV=1
tr|A0A182LPF6|A0A182LPF6_9DIPT	tr|A0A182LPF6|A0A182LPF6_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles coluzzii OX=1518534 PE=4 SV=1
tr|A0A182LY39|A0A182LY39_9DIPT	tr|A0A182LY39|A0A182LY39_9DIPT Uncharacterized protein OS=Anopheles culicifacies OX=139723 PE=4 SV=1
tr|A0A182LZ41|A0A182LZ41_9DIPT	tr|A0A182LZ41|A0A182LZ41_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles culicifacies OX=139723 PE=4 SV=1
tr|A0A182M448|A0A182M448_9DIPT	tr|A0A182M448|A0A182M448_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles culicifacies OX=139723 PE=4 SV=1
tr|A0A182M4A1|A0A182M4A1_9DIPT	tr|A0A182M4A1|A0A182M4A1_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles culicifacies OX=139723 PE=3 SV=1
tr|A0A182MPQ7|A0A182MPQ7_9DIPT	tr|A0A182MPQ7|A0A182MPQ7_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles culicifacies OX=139723 PE=4 SV=1
tr|A0A182MY06|A0A182MY06_9DIPT	tr|A0A182MY06|A0A182MY06_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles dirus OX=7168 PE=4 SV=1
tr|A0A182MZN3|A0A182MZN3_9DIPT	tr|A0A182MZN3|A0A182MZN3_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles dirus OX=7168 PE=4 SV=1
tr|A0A182N703|A0A182N703_9DIPT	tr|A0A182N703|A0A182N703_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles dirus OX=7168 PE=4 SV=1
tr|A0A182N765|A0A182N765_9DIPT	tr|A0A182N765|A0A182N765_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles dirus OX=7168 PE=4 SV=1
tr|A0A182NR81|A0A182NR81_9DIPT	tr|A0A182NR81|A0A182NR81_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles dirus OX=7168 PE=3 SV=1
tr|A0A182P9A5|A0A182P9A5_9DIPT	tr|A0A182P9A5|A0A182P9A5_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles epiroticus OX=199890 PE=4 SV=1
tr|A0A182P9T3|A0A182P9T3_9DIPT	tr|A0A182P9T3|A0A182P9T3_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles epiroticus OX=199890 PE=4 SV=1
tr|A0A182PI31|A0A182PI31_9DIPT	tr|A0A182PI31|A0A182PI31_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles epiroticus OX=199890 PE=3 SV=1
tr|A0A182PT37|A0A182PT37_9DIPT	tr|A0A182PT37|A0A182PT37_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles epiroticus OX=199890 PE=4 SV=1
tr|A0A182Q7C8|A0A182Q7C8_9DIPT	tr|A0A182Q7C8|A0A182Q7C8_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles farauti OX=69004 PE=3 SV=1
tr|A0A182QEJ9|A0A182QEJ9_9DIPT	tr|A0A182QEJ9|A0A182QEJ9_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles farauti OX=69004 PE=3 SV=1
tr|A0A182QJG7|A0A182QJG7_9DIPT	tr|A0A182QJG7|A0A182QJG7_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles farauti OX=69004 PE=4 SV=1
tr|A0A182QM84|A0A182QM84_9DIPT	tr|A0A182QM84|A0A182QM84_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles farauti OX=69004 PE=4 SV=1
tr|A0A182QPE8|A0A182QPE8_9DIPT	tr|A0A182QPE8|A0A182QPE8_9DIPT Uncharacterized protein OS=Anopheles farauti OX=69004 PE=4 SV=1
tr|A0A182QYX4|A0A182QYX4_9DIPT	tr|A0A182QYX4|A0A182QYX4_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles farauti OX=69004 PE=3 SV=1
tr|A0A182RP00|A0A182RP00_ANOFN	tr|A0A182RP00|A0A182RP00_ANOFN G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles funestus OX=62324 PE=4 SV=2
tr|A0A182SI43|A0A182SI43_9DIPT	tr|A0A182SI43|A0A182SI43_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles maculatus OX=74869 PE=3 SV=1
tr|A0A182SQU3|A0A182SQU3_9DIPT	tr|A0A182SQU3|A0A182SQU3_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles maculatus OX=74869 PE=4 SV=1
tr|A0A182STI1|A0A182STI1_9DIPT	tr|A0A182STI1|A0A182STI1_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles maculatus OX=74869 PE=4 SV=1
tr|A0A182T4V3|A0A182T4V3_9DIPT	tr|A0A182T4V3|A0A182T4V3_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles maculatus OX=74869 PE=4 SV=1
tr|A0A182TDI7|A0A182TDI7_9DIPT	tr|A0A182TDI7|A0A182TDI7_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles melas OX=34690 PE=4 SV=1
tr|A0A182TL11|A0A182TL11_9DIPT	tr|A0A182TL11|A0A182TL11_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles melas OX=34690 PE=4 SV=1
tr|A0A182TRW9|A0A182TRW9_9DIPT	tr|A0A182TRW9|A0A182TRW9_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles melas OX=34690 PE=4 SV=1
tr|A0A182TTM2|A0A182TTM2_9DIPT	tr|A0A182TTM2|A0A182TTM2_9DIPT Uncharacterized protein OS=Anopheles melas OX=34690 PE=4 SV=1
tr|A0A182U476|A0A182U476_9DIPT	tr|A0A182U476|A0A182U476_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles melas OX=34690 PE=4 SV=1
tr|A0A182UFK4|A0A182UFK4_9DIPT	tr|A0A182UFK4|A0A182UFK4_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles melas OX=34690 PE=3 SV=1
tr|A0A182UFP7|A0A182UFP7_9DIPT	tr|A0A182UFP7|A0A182UFP7_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles melas OX=34690 PE=4 SV=1
tr|A0A182UL45|A0A182UL45_9DIPT	tr|A0A182UL45|A0A182UL45_9DIPT Uncharacterized protein OS=Anopheles melas OX=34690 PE=4 SV=1
tr|A0A182UPX4|A0A182UPX4_ANOME	tr|A0A182UPX4|A0A182UPX4_ANOME Uncharacterized protein OS=Anopheles merus OX=30066 PE=4 SV=1
tr|A0A182V4R2|A0A182V4R2_ANOME	tr|A0A182V4R2|A0A182V4R2_ANOME G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles merus OX=30066 PE=4 SV=1
tr|A0A182V778|A0A182V778_ANOME	tr|A0A182V778|A0A182V778_ANOME G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles merus OX=30066 PE=4 SV=1
tr|A0A182VDZ9|A0A182VDZ9_ANOME	tr|A0A182VDZ9|A0A182VDZ9_ANOME G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles merus OX=30066 PE=4 SV=1
tr|A0A182VYN9|A0A182VYN9_9DIPT	tr|A0A182VYN9|A0A182VYN9_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles minimus OX=112268 PE=4 SV=1
tr|A0A182VZX1|A0A182VZX1_9DIPT	tr|A0A182VZX1|A0A182VZX1_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles minimus OX=112268 PE=3 SV=1
tr|A0A182W107|A0A182W107_9DIPT	tr|A0A182W107|A0A182W107_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles minimus OX=112268 PE=3 SV=1
tr|A0A182W4F0|A0A182W4F0_9DIPT	tr|A0A182W4F0|A0A182W4F0_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles minimus OX=112268 PE=4 SV=1
tr|A0A182WF52|A0A182WF52_9DIPT	tr|A0A182WF52|A0A182WF52_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles minimus OX=112268 PE=4 SV=1
tr|A0A182WF78|A0A182WF78_9DIPT	tr|A0A182WF78|A0A182WF78_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles minimus OX=112268 PE=4 SV=1
tr|A0A182WLZ2|A0A182WLZ2_9DIPT	tr|A0A182WLZ2|A0A182WLZ2_9DIPT G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles minimus OX=112268 PE=3 SV=1
tr|A0A182WM51|A0A182WM51_9DIPT	tr|A0A182WM51|A0A182WM51_9DIPT Uncharacterized protein OS=Anopheles minimus OX=112268 PE=3 SV=1
tr|A0A182WW61|A0A182WW61_ANOQN	tr|A0A182WW61|A0A182WW61_ANOQN G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles quadriannulatus OX=34691 PE=4 SV=1
tr|A0A182X3K2|A0A182X3K2_ANOQN	tr|A0A182X3K2|A0A182X3K2_ANOQN Uncharacterized protein OS=Anopheles quadriannulatus OX=34691 PE=4 SV=1
tr|A0A182XC80|A0A182XC80_ANOQN	tr|A0A182XC80|A0A182XC80_ANOQN G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles quadriannulatus OX=34691 PE=4 SV=1
tr|A0A182XHP5|A0A182XHP5_ANOQN	tr|A0A182XHP5|A0A182XHP5_ANOQN G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles quadriannulatus OX=34691 PE=4 SV=1
tr|A0A182XK06|A0A182XK06_ANOQN	tr|A0A182XK06|A0A182XK06_ANOQN G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles quadriannulatus OX=34691 PE=3 SV=1
tr|A0A182XW95|A0A182XW95_ANOST	tr|A0A182XW95|A0A182XW95_ANOST G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles stephensi OX=30069 PE=4 SV=1
tr|A0A182XYG5|A0A182XYG5_ANOST	tr|A0A182XYG5|A0A182XYG5_ANOST G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles stephensi OX=30069 PE=3 SV=1
tr|A0A182Y434|A0A182Y434_ANOST	tr|A0A182Y434|A0A182Y434_ANOST G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles stephensi OX=30069 PE=3 SV=1
tr|A0A182Y7N8|A0A182Y7N8_ANOST	tr|A0A182Y7N8|A0A182Y7N8_ANOST G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles stephensi OX=30069 PE=4 SV=1
tr|A0A182YDC0|A0A182YDC0_ANOST	tr|A0A182YDC0|A0A182YDC0_ANOST G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles stephensi OX=30069 PE=4 SV=1
tr|A0A182YG38|A0A182YG38_ANOST	tr|A0A182YG38|A0A182YG38_ANOST G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Anopheles stephensi OX=30069 PE=4 SV=1
tr|A0A183A7T0|A0A183A7T0_9TREM	tr|A0A183A7T0|A0A183A7T0_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Echinostoma caproni OX=27848 GN=ECPE_LOCUS3015 PE=4 SV=1
tr|A0A183B192|A0A183B192_9TREM	tr|A0A183B192|A0A183B192_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Echinostoma caproni OX=27848 GN=ECPE_LOCUS12977 PE=4 SV=1
tr|A0A183BHS4|A0A183BHS4_GLOPA	tr|A0A183BHS4|A0A183BHS4_GLOPA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Globodera pallida OX=36090 PE=4 SV=1
tr|A0A183BJG6|A0A183BJG6_GLOPA	tr|A0A183BJG6|A0A183BJG6_GLOPA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Globodera pallida OX=36090 PE=4 SV=1
tr|A0A183BWE0|A0A183BWE0_GLOPA	tr|A0A183BWE0|A0A183BWE0_GLOPA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Globodera pallida OX=36090 PE=4 SV=1
tr|A0A183C4W1|A0A183C4W1_GLOPA	tr|A0A183C4W1|A0A183C4W1_GLOPA Uncharacterized protein OS=Globodera pallida OX=36090 PE=3 SV=1
tr|A0A183CF62|A0A183CF62_GLOPA	tr|A0A183CF62|A0A183CF62_GLOPA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Globodera pallida OX=36090 PE=3 SV=1
tr|A0A183CM47|A0A183CM47_GLOPA	tr|A0A183CM47|A0A183CM47_GLOPA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Globodera pallida OX=36090 PE=3 SV=1
tr|A0A183DK49|A0A183DK49_9BILA	tr|A0A183DK49|A0A183DK49_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gongylonema pulchrum OX=637853 GN=GPUH_LOCUS9095 PE=3 SV=1
tr|A0A183DP40|A0A183DP40_9BILA	tr|A0A183DP40|A0A183DP40_9BILA Uncharacterized protein OS=Gongylonema pulchrum OX=637853 GN=GPUH_LOCUS10481 PE=3 SV=1
tr|A0A183DPL1|A0A183DPL1_9BILA	tr|A0A183DPL1|A0A183DPL1_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gongylonema pulchrum OX=637853 GN=GPUH_LOCUS10652 PE=4 SV=1
tr|A0A183DRU5|A0A183DRU5_9BILA	tr|A0A183DRU5|A0A183DRU5_9BILA Uncharacterized protein OS=Gongylonema pulchrum OX=637853 GN=GPUH_LOCUS11436 PE=3 SV=1
tr|A0A183EF56|A0A183EF56_9BILA	tr|A0A183EF56|A0A183EF56_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gongylonema pulchrum OX=637853 PE=4 SV=1
tr|A0A183EYF3|A0A183EYF3_9BILA	tr|A0A183EYF3|A0A183EYF3_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Gongylonema pulchrum OX=637853 PE=4 SV=1
tr|A0A183F5L9|A0A183F5L9_HELPZ	tr|A0A183F5L9|A0A183F5L9_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 GN=HPBE_LOCUS1462 PE=3 SV=1
tr|A0A183F5X4|A0A183F5X4_HELPZ	tr|A0A183F5X4|A0A183F5X4_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 PE=4 SV=1
tr|A0A183FM20|A0A183FM20_HELPZ	tr|A0A183FM20|A0A183FM20_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 GN=HPBE_LOCUS8384 PE=4 SV=1
tr|A0A183FMJ0|A0A183FMJ0_HELPZ	tr|A0A183FMJ0|A0A183FMJ0_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 GN=HPBE_LOCUS8619 PE=4 SV=1
tr|A0A183FNQ8|A0A183FNQ8_HELPZ	tr|A0A183FNQ8|A0A183FNQ8_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 GN=HPBE_LOCUS9166 PE=4 SV=1
tr|A0A183G9I9|A0A183G9I9_HELPZ	tr|A0A183G9I9|A0A183G9I9_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 PE=4 SV=1
tr|A0A183GH17|A0A183GH17_HELPZ	tr|A0A183GH17|A0A183GH17_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 GN=HPBE_LOCUS21822 PE=3 SV=1
tr|A0A183GHU7|A0A183GHU7_HELPZ	tr|A0A183GHU7|A0A183GHU7_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 GN=HPBE_LOCUS22160 PE=3 SV=1
tr|A0A183GM33|A0A183GM33_HELPZ	tr|A0A183GM33|A0A183GM33_HELPZ G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Heligmosomoides polygyrus OX=6339 GN=HPBE_LOCUS23752 PE=3 SV=1
tr|A0A183H536|A0A183H536_9BILA	tr|A0A183H536|A0A183H536_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Onchocerca flexuosa OX=387005 GN=OFLC_LOCUS2596 PE=3 SV=1
tr|A0A183HGX7|A0A183HGX7_9BILA	tr|A0A183HGX7|A0A183HGX7_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Onchocerca flexuosa OX=387005 GN=OFLC_LOCUS6739 PE=4 SV=1
tr|A0A183I943|A0A183I943_9BILA	tr|A0A183I943|A0A183I943_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Soboliphyme baturini OX=241478 GN=SBAD_LOCUS137 PE=4 SV=1
tr|A0A183IM51|A0A183IM51_9BILA	tr|A0A183IM51|A0A183IM51_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Soboliphyme baturini OX=241478 GN=SBAD_LOCUS4697 PE=4 SV=1
tr|A0A183IM61|A0A183IM61_9BILA	tr|A0A183IM61|A0A183IM61_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Soboliphyme baturini OX=241478 GN=SBAD_LOCUS4707 PE=4 SV=1
tr|A0A183IUS4|A0A183IUS4_9BILA	tr|A0A183IUS4|A0A183IUS4_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Soboliphyme baturini OX=241478 GN=SBAD_LOCUS7371 PE=4 SV=1
tr|A0A183JWQ2|A0A183JWQ2_9TREM	tr|A0A183JWQ2|A0A183JWQ2_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma curassoni OX=6186 GN=SCUD_LOCUS7147 PE=4 SV=1
tr|A0A183KGE9|A0A183KGE9_9TREM	tr|A0A183KGE9|A0A183KGE9_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma curassoni OX=6186 GN=SCUD_LOCUS14096 PE=3 SV=1
tr|A0A183KRP0|A0A183KRP0_9TREM	tr|A0A183KRP0|A0A183KRP0_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma curassoni OX=6186 GN=SCUD_LOCUS17726 PE=3 SV=1
tr|A0A183KVE0|A0A183KVE0_9TREM	tr|A0A183KVE0|A0A183KVE0_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma curassoni OX=6186 GN=SCUD_LOCUS19033 PE=4 SV=1
tr|A0A183MNL6|A0A183MNL6_9TREM	tr|A0A183MNL6|A0A183MNL6_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma margrebowiei OX=48269 GN=SMRZ_LOCUS17641 PE=3 SV=1
tr|A0A183NV01|A0A183NV01_9TREM	tr|A0A183NV01|A0A183NV01_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma mattheei OX=31246 GN=SMTD_LOCUS5937 PE=4 SV=1
tr|A0A183PQ51|A0A183PQ51_9TREM	tr|A0A183PQ51|A0A183PQ51_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma mattheei OX=31246 GN=SMTD_LOCUS16487 PE=3 SV=1
tr|A0A183QF82|A0A183QF82_9TREM	tr|A0A183QF82|A0A183QF82_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma rodhaini OX=6188 PE=4 SV=1
tr|A0A183QS12|A0A183QS12_9TREM	tr|A0A183QS12|A0A183QS12_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma rodhaini OX=6188 PE=3 SV=1
tr|A0A183RCB2|A0A183RCB2_9TREM	tr|A0A183RCB2|A0A183RCB2_9TREM G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistosoma rodhaini OX=6188 PE=4 SV=1
tr|A0A183SG99|A0A183SG99_SCHSO	tr|A0A183SG99|A0A183SG99_SCHSO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistocephalus solidus OX=70667 GN=SSLN_LOCUS3247 PE=3 SV=1
tr|A0A183SX23|A0A183SX23_SCHSO	tr|A0A183SX23|A0A183SX23_SCHSO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistocephalus solidus OX=70667 GN=SSLN_LOCUS8771 PE=3 SV=1
tr|A0A183SYL7|A0A183SYL7_SCHSO	tr|A0A183SYL7|A0A183SYL7_SCHSO Melanopsin-A OS=Schistocephalus solidus OX=70667 GN=SSLN_LOCUS9315 PE=4 SV=1
tr|A0A183TL07|A0A183TL07_SCHSO	tr|A0A183TL07|A0A183TL07_SCHSO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Schistocephalus solidus OX=70667 PE=3 SV=1
tr|A0A183TYH7|A0A183TYH7_TOXCA	tr|A0A183TYH7|A0A183TYH7_TOXCA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Toxocara canis OX=6265 GN=TCNE_LOCUS1297 PE=3 SV=1
tr|A0A183V3P3|A0A183V3P3_TOXCA	tr|A0A183V3P3|A0A183V3P3_TOXCA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Toxocara canis OX=6265 GN=TCNE_LOCUS15363 PE=3 SV=1
tr|A0A183V4S5|A0A183V4S5_TOXCA	tr|A0A183V4S5|A0A183V4S5_TOXCA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Toxocara canis OX=6265 GN=TCNE_LOCUS15745 PE=3 SV=1
tr|A0A183V571|A0A183V571_TOXCA	tr|A0A183V571|A0A183V571_TOXCA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Toxocara canis OX=6265 GN=TCNE_LOCUS15891 PE=4 SV=1
tr|A0A183VNF2|A0A183VNF2_TRIRE	tr|A0A183VNF2|A0A183VNF2_TRIRE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Trichobilharzia regenti OX=157069 GN=TRE_LOCUS2008 PE=4 SV=1
tr|A0A183VUF6|A0A183VUF6_TRIRE	tr|A0A183VUF6|A0A183VUF6_TRIRE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Trichobilharzia regenti OX=157069 GN=TRE_LOCUS4110 PE=4 SV=1
tr|A0A183WGC2|A0A183WGC2_TRIRE	tr|A0A183WGC2|A0A183WGC2_TRIRE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Trichobilharzia regenti OX=157069 GN=TRE_LOCUS11176 PE=3 SV=1
tr|A0A183WMM2|A0A183WMM2_TRIRE	tr|A0A183WMM2|A0A183WMM2_TRIRE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Trichobilharzia regenti OX=157069 GN=TRE_LOCUS13374 PE=4 SV=1
tr|A0A183X3W6|A0A183X3W6_TRIRE	tr|A0A183X3W6|A0A183X3W6_TRIRE G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Trichobilharzia regenti OX=157069 GN=TRE_LOCUS19069 PE=4 SV=1
tr|A0A191SB74|A0A191SB74_HCMV	tr|A0A191SB74|A0A191SB74_HCMV Envelope glycoprotein UL33 OS=Human cytomegalovirus OX=10359 GN=UL33 PE=3 SV=1
tr|A0A193GNI8|A0A193GNI8_9TELE	tr|A0A193GNI8|A0A193GNI8_9TELE Brain super conserved receptor (Fragment) OS=Facciolella gilbertii OX=182429 GN=SREB PE=4 SV=1
